epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2312.76,0.93705,0.85767,1.16007,0.85032,0.66135,0.74671,0.41791,1.50035,0.93073,1.50205,0.000424187,0.000424187,0.000424187
43,2366.39,0.93129,0.85487,1.1544,0.90053,0.66642,0.75988,0.42153,1.52899,0.91352,1.5302,0.000417119,0.000417119,0.000417119
44,2419.94,0.92663,0.85232,1.1564,0.87787,0.66819,0.75309,0.44001,1.44677,0.90357,1.48644,0.00041005,0.00041005,0.00041005
45,2476.81,0.92655,0.83872,1.15351,0.83452,0.68768,0.75551,0.41141,1.58663,0.92431,1.5778,0.000402982,0.000402982,0.000402982
46,2529.95,0.93196,0.84445,1.15359,0.89981,0.68701,0.77475,0.44483,1.41651,0.86894,1.46842,0.000395913,0.000395913,0.000395913
47,2584.34,0.9144,0.8204,1.1429,0.88031,0.67867,0.75763,0.43785,1.45549,0.88245,1.47636,0.000388844,0.000388844,0.000388844
48,2638.81,0.91572,0.82138,1.14308,0.88341,0.67513,0.76344,0.42766,1.48298,0.89016,1.50771,0.000381776,0.000381776,0.000381776
49,2695.76,0.91076,0.80897,1.13757,0.92975,0.67484,0.76656,0.44185,1.47206,0.88275,1.48429,0.000374707,0.000374707,0.000374707
50,2750.46,0.91244,0.81427,1.13748,0.89167,0.67429,0.77117,0.41835,1.54203,0.89909,1.55739,0.000367639,0.000367639,0.000367639
51,2803.57,0.90308,0.81295,1.13744,0.90624,0.67234,0.76209,0.43694,1.45566,0.8632,1.48661,0.00036057,0.00036057,0.00036057
52,2861.07,0.894,0.79896,1.13419,0.88616,0.67044,0.76499,0.4501,1.41163,0.86016,1.44543,0.000353501,0.000353501,0.000353501
53,2916.7,0.8977,0.79752,1.13053,0.86411,0.70968,0.776,0.45871,1.39037,0.87437,1.42793,0.000346433,0.000346433,0.000346433
54,2972.05,0.8942,0.78338,1.12826,0.88335,0.68095,0.77545,0.45375,1.44472,0.86033,1.46251,0.000339364,0.000339364,0.000339364
55,3026.2,0.89155,0.78188,1.1247,0.85064,0.69296,0.77023,0.4506,1.44628,0.84556,1.4661,0.000332296,0.000332296,0.000332296
56,3083.4,0.88894,0.78256,1.1265,0.89544,0.68644,0.77839,0.45705,1.40099,0.86608,1.45324,0.000325227,0.000325227,0.000325227
57,3137.64,0.87386,0.77225,1.1178,0.91674,0.68427,0.78124,0.46484,1.39602,0.84537,1.43747,0.000318158,0.000318158,0.000318158
58,3192.34,0.8758,0.77447,1.11976,0.91122,0.67299,0.76599,0.45607,1.38666,0.83535,1.45303,0.00031109,0.00031109,0.00031109
59,3249.92,0.88193,0.77015,1.12369,0.90458,0.67983,0.76862,0.45549,1.39221,0.82798,1.43218,0.000304021,0.000304021,0.000304021
60,3303.43,0.87783,0.76561,1.1188,0.88764,0.70072,0.77352,0.45724,1.39838,0.84523,1.43967,0.000296953,0.000296953,0.000296953
61,3357.46,0.86329,0.75816,1.11081,0.88396,0.67943,0.76482,0.4692,1.35668,0.8321,1.43021,0.000289884,0.000289884,0.000289884
62,3415.97,0.87569,0.76665,1.11854,0.87288,0.71135,0.7875,0.4614,1.40941,0.81976,1.46294,0.000282815,0.000282815,0.000282815
63,3470.82,0.85877,0.74393,1.10802,0.89078,0.71735,0.78472,0.46284,1.42114,0.82487,1.46109,0.000275747,0.000275747,0.000275747
64,3526.08,0.86027,0.74653,1.10914,0.91318,0.69191,0.78715,0.46853,1.38572,0.8055,1.4198,0.000268678,0.000268678,0.000268678
65,3580.79,0.85974,0.74199,1.1115,0.91975,0.70115,0.78807,0.45773,1.47246,0.81409,1.45985,0.00026161,0.00026161,0.00026161
66,3638.38,0.85401,0.74292,1.10712,0.86937,0.72109,0.78963,0.46639,1.42265,0.80915,1.46425,0.000254541,0.000254541,0.000254541
67,3693.26,0.85402,0.74225,1.10266,0.89742,0.70634,0.78632,0.47395,1.345,0.81253,1.40699,0.000247472,0.000247472,0.000247472
68,3749.41,0.84188,0.71899,1.0974,0.90794,0.7056,0.7895,0.47382,1.38,0.80636,1.41218,0.000240404,0.000240404,0.000240404
69,3807.81,0.83334,0.71679,1.09718,0.88062,0.71098,0.78527,0.48385,1.31643,0.78962,1.37792,0.000233335,0.000233335,0.000233335
70,3861.77,0.84049,0.72202,1.09634,0.86283,0.72931,0.78394,0.47847,1.34651,0.79082,1.40865,0.000226267,0.000226267,0.000226267
71,3915.22,0.84308,0.72654,1.09971,0.86221,0.72053,0.78155,0.48601,1.28923,0.78506,1.35343,0.000219198,0.000219198,0.000219198
